Type,Value,Time (MSK)
low,1.81x,2024-12-12 10:56:51
medium,7.75x,2024-12-12 10:57:25
medium,2.57x,2024-12-12 10:57:48
medium,6.91x,2024-12-12 10:58:19
low,1.32x,2024-12-12 10:58:34
low,1.06x,2024-12-12 10:58:47
low,1.54x,2024-12-12 10:59:02
low,1.49x,2024-12-12 10:59:19
medium,2.18x,2024-12-12 10:59:38
low,1.25x,2024-12-12 10:59:53
low,1.49x,2024-12-12 11:00:07
medium,2.83x,2024-12-12 11:00:31
low,1.00x,2024-12-12 11:00:41
medium,7.89x,2024-12-12 11:01:17
medium,3.14x,2024-12-12 11:01:40
low,1.72x,2024-12-12 11:01:57
medium,9.06x,2024-12-12 11:02:35
low,1.00x,2024-12-12 11:02:45
low,1.54x,2024-12-12 11:03:02
low,1.65x,2024-12-12 11:03:19
high,177.48x,2024-12-12 11:04:28
medium,4.56x,2024-12-12 11:04:57
low,1.95x,2024-12-12 11:05:16
low,1.00x,2024-12-12 11:05:27
high,48.89x,2024-12-12 11:06:23
medium,5.31x,2024-12-12 11:06:53
low,1.03x,2024-12-12 11:07:06
medium,4.46x,2024-12-12 11:07:33
medium,2.48x,2024-12-12 11:07:54
low,1.06x,2024-12-12 11:08:07
medium,3.05x,2024-12-12 11:08:30
high,241.25x,2024-12-12 11:09:45
low,1.12x,2024-12-12 11:09:58
medium,4.15x,2024-12-12 11:10:25
low,1.13x,2024-12-12 11:10:36
medium,5.67x,2024-12-12 11:11:07
low,1.24x,2024-12-12 11:11:22
low,1.35x,2024-12-12 11:11:37
low,1.89x,2024-12-12 11:11:53
medium,2.42x,2024-12-12 11:12:14
medium,3.83x,2024-12-12 11:12:42
low,1.13x,2024-12-12 11:12:54
high,10.79x,2024-12-12 11:13:32
high,12.69x,2024-12-12 11:14:12
low,1.39x,2024-12-12 11:14:29
medium,2.80x,2024-12-12 11:14:50
high,56.80x,2024-12-12 11:15:48
medium,4.17x,2024-12-12 11:16:16
medium,5.09x,2024-12-12 11:16:45
medium,2.28x,2024-12-12 11:17:06
medium,8.75x,2024-12-12 11:17:42
low,1.53x,2024-12-12 11:17:58
low,1.17x,2024-12-12 11:18:11
medium,3.26x,2024-12-12 11:18:36
low,1.25x,2024-12-12 11:18:49
medium,2.43x,2024-12-12 11:19:10
medium,7.04x,2024-12-12 11:19:44
low,1.74x,2024-12-12 11:20:01
low,1.27x,2024-12-12 11:20:15
low,1.15x,2024-12-12 11:20:28
low,1.78x,2024-12-12 11:20:45
medium,2.03x,2024-12-12 11:21:06
low,1.41x,2024-12-12 11:21:21
low,1.79x,2024-12-12 11:21:37
high,16.07x,2024-12-12 11:22:22
high,10.11x,2024-12-12 11:22:58
high,10.37x,2024-12-12 11:23:37
high,23.60x,2024-12-12 11:24:24
medium,2.58x,2024-12-12 11:24:47
high,22.70x,2024-12-12 11:25:33
high,12.89x,2024-12-12 11:26:13
medium,2.03x,2024-12-12 11:26:34
medium,2.77x,2024-12-12 11:26:55
medium,2.80x,2024-12-12 11:27:18
medium,3.57x,2024-12-12 11:27:45
high,18.06x,2024-12-12 11:28:29
high,36.16x,2024-12-12 11:29:22
low,1.10x,2024-12-12 11:29:32
medium,6.00x,2024-12-12 11:30:04
low,1.75x,2024-12-12 11:30:23
high,14.11x,2024-12-12 11:31:05
medium,6.21x,2024-12-12 11:31:36
high,26.75x,2024-12-12 11:32:25
low,1.38x,2024-12-12 11:32:39
medium,2.83x,2024-12-12 11:33:02
low,1.59x,2024-12-12 11:33:19
low,1.22x,2024-12-12 11:33:32
medium,5.65x,2024-12-12 11:34:03
low,1.07x,2024-12-12 11:34:16
medium,7.10x,2024-12-12 11:34:49
high,31.48x,2024-12-12 11:35:40
low,1.05x,2024-12-12 11:35:50
low,1.68x,2024-12-12 11:36:09
low,1.01x,2024-12-12 11:36:20
low,1.60x,2024-12-12 11:36:36
low,1.19x,2024-12-12 11:36:49
medium,7.27x,2024-12-12 11:37:23
medium,2.38x,2024-12-12 11:37:44
low,1.94x,2024-12-12 11:38:03
low,1.87x,2024-12-12 11:38:22
low,1.31x,2024-12-12 11:38:34
medium,2.05x,2024-12-12 11:38:55
low,1.12x,2024-12-12 11:39:06
low,1.28x,2024-12-12 11:39:20
high,81.49x,2024-12-12 11:40:22
low,1.36x,2024-12-12 11:40:37
low,1.09x,2024-12-12 11:40:49
medium,4.91x,2024-12-12 11:41:19
medium,4.79x,2024-12-12 11:41:48
medium,6.95x,2024-12-12 11:42:22
low,1.00x,2024-12-12 11:42:32
low,1.13x,2024-12-12 11:42:45
medium,2.70x,2024-12-12 11:43:06
low,1.44x,2024-12-12 11:43:21
medium,8.40x,2024-12-12 11:43:57
medium,2.08x,2024-12-12 11:44:18
low,1.16x,2024-12-12 11:44:31
high,17.42x,2024-12-12 11:45:15
medium,5.60x,2024-12-12 11:45:44
medium,3.55x,2024-12-12 11:46:10
medium,2.73x,2024-12-12 11:46:33
medium,2.30x,2024-12-12 11:46:54
low,1.12x,2024-12-12 11:47:07
medium,2.35x,2024-12-12 11:47:28
low,1.39x,2024-12-12 11:47:42
medium,3.41x,2024-12-12 11:48:06
low,1.03x,2024-12-12 11:48:19
low,1.44x,2024-12-12 11:48:33
medium,4.63x,2024-12-12 11:49:03
medium,3.78x,2024-12-12 11:49:29
low,1.32x,2024-12-12 11:49:43
low,1.59x,2024-12-12 11:49:58
low,1.70x,2024-12-12 11:50:17
high,17.31x,2024-12-12 11:51:01
medium,2.43x,2024-12-12 11:51:22
